performanceRatingOverall,ticker,regularMarketChange,netExpenseRatio,trailing3mReturn,companyName,twoHundredDayMovingAvg,fundNetAssets,grossExpenseRatio,regularMarketChangePercent,annualReturnNavY1,fiftyTwoWeekChangePercent,regularMarketPrice,fiftyTwoWeekLow,trailingYtdReturn,annualReturnNavY3,annualReturnNavY5,riskRatingOverall,exchange,region,fiftyDayMovingAvg,fiftyTwoWeekHigh
5.0,0P0001EG46.TO,"{'raw': 0.2428999, 'fmt': '0.24'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.35771, 'fmt': '5.36%'}",CAN Can Small Cap 75/100 (P),"{'raw': 12.19986, 'fmt': '12.20'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8626436, 'fmt': '1.86%'}","{'raw': 20.04298, 'fmt': '20.04%'}","{'raw': 13.291144, 'fmt': '13.29%'}","{'raw': 13.2835, 'fmt': '13.28'}","{'raw': 10.1238, 'fmt': '10.12'}","{'raw': 11.13296, 'fmt': '11.13%'}","{'raw': -7.34308, 'fmt': '-7.34%'}","{'raw': 0.5764, 'fmt': '0.58%'}",4.0,TOR,ca,"{'raw': 13.190624, 'fmt': '13.19'}","{'raw': 13.6169, 'fmt': '13.62'}"
5.0,0P0001EG4A.TO,"{'raw': 0.23989964, 'fmt': '0.24'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.34503, 'fmt': '5.35%'}",CAN Can Small Cap 100/100 (PP),"{'raw': 12.055742, 'fmt': '12.06'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8619531, 'fmt': '1.86%'}","{'raw': 19.98883, 'fmt': '19.99%'}","{'raw': 13.244116, 'fmt': '13.24%'}","{'raw': 13.1242, 'fmt': '13.12'}","{'raw': 10.0051, 'fmt': '10.01'}","{'raw': 11.09493, 'fmt': '11.09%'}","{'raw': -7.37903, 'fmt': '-7.38%'}","{'raw': -0.34608, 'fmt': '-0.35%'}",4.0,TOR,ca,"{'raw': 13.033008, 'fmt': '13.03'}","{'raw': 13.454, 'fmt': '13.45'}"
4.0,0P0001EG47.TO,"{'raw': 0.23379993, 'fmt': '0.23'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.25229, 'fmt': '5.25%'}",CAN Can Small Cap 100/100 (P),"{'raw': 11.767522, 'fmt': '11.77'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8615681, 'fmt': '1.86%'}","{'raw': 19.58399, 'fmt': '19.58%'}","{'raw': 12.847769, 'fmt': '12.85%'}","{'raw': 12.7931, 'fmt': '12.79'}","{'raw': 9.7722, 'fmt': '9.77'}","{'raw': 10.76373, 'fmt': '10.76%'}","{'raw': -7.70972, 'fmt': '-7.71%'}","{'raw': -0.70784, 'fmt': '-0.71%'}",4.0,TOR,ca,"{'raw': 12.708444, 'fmt': '12.71'}","{'raw': 13.1175, 'fmt': '13.12'}"
3.0,0P0000W7V8.TO,"{'raw': 0.30590057, 'fmt': '0.31'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.21382, 'fmt': '5.21%'}",CAN Can Small Cap 75/75 (PS1),"{'raw': 15.412922, 'fmt': '15.41'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.860562, 'fmt': '1.86%'}","{'raw': 19.39771, 'fmt': '19.40%'}","{'raw': 12.689245, 'fmt': '12.69%'}","{'raw': 16.7472, 'fmt': '16.75'}","{'raw': 12.8028, 'fmt': '12.80'}","{'raw': 10.63313, 'fmt': '10.63%'}","{'raw': -7.84319, 'fmt': '-7.84%'}","{'raw': 0.05212, 'fmt': '0.05%'}",4.0,TOR,ca,"{'raw': 16.638573, 'fmt': '16.64'}","{'raw': 17.1733, 'fmt': '17.17'}"
3.0,0P0000W7V7.TO,"{'raw': 0.2968998, 'fmt': '0.30'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.15582, 'fmt': '5.16%'}",CAN Can Small Cap 75/100 (PS1),"{'raw': 14.974654, 'fmt': '14.97'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8602278, 'fmt': '1.86%'}","{'raw': 19.13347, 'fmt': '19.13%'}","{'raw': 12.444234, 'fmt': '12.44%'}","{'raw': 16.2573, 'fmt': '16.26'}","{'raw': 12.4437, 'fmt': '12.44'}","{'raw': 10.43011, 'fmt': '10.43%'}","{'raw': -8.04545, 'fmt': '-8.05%'}","{'raw': -0.16433, 'fmt': '-0.16%'}",4.0,TOR,ca,"{'raw': 16.15521, 'fmt': '16.16'}","{'raw': 16.6732, 'fmt': '16.67'}"
2.0,0P0000738L.TO,"{'raw': 0.51129913, 'fmt': '0.51'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 4.97307, 'fmt': '4.97%'}",FaithLife Cdn Small Cap Equity (Bissett),"{'raw': 25.86139, 'fmt': '25.86'}","{'raw': 1438792.0, 'fmt': '1.439M', 'longFmt': '1,438,792'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8601692, 'fmt': '1.86%'}","{'raw': 18.31584, 'fmt': '18.32%'}","{'raw': 11.635292, 'fmt': '11.64%'}","{'raw': 27.998, 'fmt': '28.00'}","{'raw': 21.5223, 'fmt': '21.52'}","{'raw': 9.73737, 'fmt': '9.74%'}","{'raw': -8.73961, 'fmt': '-8.74%'}","{'raw': -0.62876, 'fmt': '-0.63%'}",4.0,TOR,ca,"{'raw': 27.83843, 'fmt': '27.84'}","{'raw': 28.725, 'fmt': '28.73'}"
3.0,0P0000CUAB.TO,"{'raw': 0.3246994, 'fmt': '0.32'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.13677, 'fmt': '5.14%'}",Canada Life Can Small Cap Gens C,"{'raw': 16.381838, 'fmt': '16.38'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8601658, 'fmt': '1.86%'}","{'raw': 19.04677, 'fmt': '19.05%'}","{'raw': 12.363731, 'fmt': '12.36%'}","{'raw': 17.7801, 'fmt': '17.78'}","{'raw': 13.6149, 'fmt': '13.61'}","{'raw': 10.36274, 'fmt': '10.36%'}","{'raw': -8.11269, 'fmt': '-8.11%'}","{'raw': -0.24034, 'fmt': '-0.24%'}",4.0,TOR,ca,"{'raw': 17.66963, 'fmt': '17.67'}","{'raw': 18.2358, 'fmt': '18.24'}"
3.0,0P0000M5JR.TO,"{'raw': 0.3708992, 'fmt': '0.37'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.13681, 'fmt': '5.14%'}",CAN Can Small Cap 75/75,"{'raw': 18.714462, 'fmt': '18.71'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8599921, 'fmt': '1.86%'}","{'raw': 19.04657, 'fmt': '19.05%'}","{'raw': 12.363911, 'fmt': '12.36%'}","{'raw': 20.3118, 'fmt': '20.31'}","{'raw': 15.5535, 'fmt': '15.55'}","{'raw': 10.36263, 'fmt': '10.36%'}","{'raw': -8.11208, 'fmt': '-8.11%'}","{'raw': -0.2408, 'fmt': '-0.24%'}",4.0,TOR,ca,"{'raw': 20.185625, 'fmt': '20.19'}","{'raw': 20.8324, 'fmt': '20.83'}"
3.0,0P0000M54T.TO,"{'raw': 0.35610008, 'fmt': '0.36'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.06388, 'fmt': '5.06%'}",CAN Can Small Cap 75/100,"{'raw': 17.98996, 'fmt': '17.99'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.859647, 'fmt': '1.86%'}","{'raw': 18.71687, 'fmt': '18.72%'}","{'raw': 12.058485, 'fmt': '12.06%'}","{'raw': 19.5049, 'fmt': '19.50'}","{'raw': 14.9589, 'fmt': '14.96'}","{'raw': 10.10946, 'fmt': '10.11%'}","{'raw': -8.36509, 'fmt': '-8.37%'}","{'raw': -0.51431, 'fmt': '-0.51%'}",4.0,TOR,ca,"{'raw': 19.388786, 'fmt': '19.39'}","{'raw': 20.0083, 'fmt': '20.01'}"
3.0,0P0000771E.TO,"{'raw': 0.27420044, 'fmt': '0.27'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 5.06324, 'fmt': '5.06%'}",Canada Life Can Small Cap Gens I,"{'raw': 13.852484, 'fmt': '13.85'}","{'raw': 17651885.0, 'fmt': '17.652M', 'longFmt': '17,651,885'}","{'raw': 0.0, 'fmt': '0.00'}","{'raw': 1.8596417, 'fmt': '1.86%'}","{'raw': 18.71606, 'fmt': '18.72%'}","{'raw': 12.058676, 'fmt': '12.06%'}","{'raw': 15.019, 'fmt': '15.02'}","{'raw': 11.5185, 'fmt': '11.52'}","{'raw': 10.10997, 'fmt': '10.11%'}","{'raw': -8.36566, 'fmt': '-8.37%'}","{'raw': -0.51499, 'fmt': '-0.51%'}",4.0,TOR,ca,"{'raw': 14.929594, 'fmt': '14.93'}","{'raw': 15.4066, 'fmt': '15.41'}"
